A4 teach_family name=frinmuk conf=0.200 centroid=0.002,0.022,-0.006,0.042,0.021,0.026,0.004,-0.011,-0.034,0.008,-0.048,-0.030,0.056,0.059,0.019,-0.001,-0.023,0.003,-0.075,-0.009,-0.005,-0.031,-0.046,0.008,0.008,0.028,0.014,0.031,0.003,-0.024,0.005,0.001
A1 teach_family name=frinbel conf=0.490 centroid=-0.001,0.000,-0.002,-0.000,-0.007,0.006,0.007,-0.006,0.006,-0.003,-0.005,-0.000,0.004,-0.001,0.007,-0.010,0.001,-0.001,-0.009,0.005,0.002,0.001,0.003,0.002,0.011,0.007,-0.010,-0.004,-0.002,0.001,0.002,0.007
A1 teach_family name=fzevzevlo conf=0.210 centroid=0.006,-0.032,0.023,-0.008,-0.013,-0.041,-0.049,-0.044,0.007,-0.050,0.007,0.029,-0.020,0.058,-0.010,-0.020,-0.003,0.049,0.016,0.063,0.002,0.027,0.013,0.017,0.010,-0.027,-0.023,0.034,0.035,0.050,0.045,-0.076
A2 teach_family name=fbelmuk conf=0.300 centroid=0.001,-0.000,0.001,0.001,0.001,0.003,0.007,0.001,-0.003,0.002,0.001,0.010,-0.005,0.001,-0.000,0.009,0.001,0.002,-0.005,0.001,0.004,-0.006,-0.004,-0.002,0.001,-0.001,-0.002,-0.007,-0.005,0.001,0.009,-0.006
A3 teach_family name=fzevvaksu conf=0.430 centroid=-0.000,-0.003,0.000,0.002,-0.001,0.000,0.008,-0.009,0.005,-0.003,0.009,-0.011,-0.005,-0.010,-0.010,0.009,-0.002,-0.005,-0.008,0.003,0.002,-0.002,-0.001,0.007,-0.005,-0.000,-0.006,0.003,0.003,-0.000,0.001,-0.002
A10 teach_family name=fvak conf=0.320 centroid=0.001,-0.001,0.002,-0.006,0.001,-0.006,-0.004,0.002,-0.011,0.001,0.005,0.004,0.002,-0.008,0.005,-0.002,-0.001,0.003,0.002,-0.006,0.006,-0.002,0.002,0.000,0.007,-0.013,0.003,-0.009,0.002,0.008,-0.002,0.011
A11 teach_family name=fkamuk conf=0.290 centroid=0.000,0.006,-0.008,-0.004,0.004,-0.010,0.002,-0.003,0.004,-0.001,-0.002,-0.004,-0.003,0.004,-0.001,-0.010,0.004,-0.006,0.005,-0.010,0.007,-0.002,0.012,-0.009,0.003,-0.004,-0.003,0.006,0.008,-0.000,-0.002,0.013
A11 teach_family name=fkakatar conf=0.200 centroid=-0.002,-0.003,0.092,-0.029,0.059,-0.000,-0.062,-0.059,0.057,-0.012,0.003,0.067,0.006,0.008,0.012,0.009,-0.072,-0.016,0.010,-0.043,-0.038,0.086,0.008,0.040,0.064,0.025,0.083,0.064,-0.054,-0.049,0.085,0.019
A18 teach_family name=fvakzev conf=0.310 centroid=0.001,0.011,-0.002,-0.016,-0.003,0.010,-0.002,-0.004,0.012,0.002,-0.006,-0.011,-0.004,-0.003,-0.010,-0.002,0.006,-0.004,-0.002,-0.003,0.004,0.007,0.002,0.006,-0.002,-0.006,0.003,0.003,0.008,0.004,0.001,0.000
A23 teach_family name=flo conf=0.340 centroid=0.001,0.006,-0.004,0.007,-0.002,-0.007,0.004,-0.001,-0.007,-0.017,0.004,-0.007,0.001,-0.007,0.003,-0.002,-0.008,-0.001,-0.003,0.012,0.001,-0.004,-0.001,-0.002,0.003,-0.010,0.005,-0.001,0.006,0.007,0.005,-0.001
A23 teach_family name=fsuvakka conf=0.200 centroid=-0.004,-0.050,0.058,-0.076,0.015,-0.001,-0.075,-0.065,0.047,0.017,0.053,0.017,-0.036,0.048,-0.049,0.027,-0.055,-0.002,-0.028,-0.006,0.065,0.084,-0.047,0.004,0.032,0.051,0.024,0.049,-0.051,0.027,-0.031,0.037
A25 teach_family name=fvakzevka conf=0.350 centroid=0.002,0.005,-0.003,0.008,0.010,-0.000,-0.001,-0.006,-0.003,0.005,-0.004,0.002,-0.011,0.001,-0.005,-0.008,0.003,0.006,0.000,0.007,0.000,0.003,-0.004,-0.004,0.002,0.006,0.009,0.002,-0.000,-0.001,-0.008,-0.001
A2 teach_family name=fvakzev conf=0.440 centroid=0.001,0.011,-0.002,-0.016,-0.003,0.010,-0.002,-0.004,0.012,0.002,-0.006,-0.011,-0.004,-0.003,-0.010,-0.002,0.006,-0.004,-0.002,-0.003,0.004,0.007,0.002,0.006,-0.002,-0.006,0.003,0.003,0.008,0.004,0.001,0.000
